EN_ARI	SV_ARI		EN_CLI	SV_CLI		EN_LIX	SV_LIX
11.4463062776	8.3881276184		11.9936093294	11.8417445483		11.9936093294	40.3524546138
11.4469208286	9.5432015241		12.0633903113	14.1751154313		12.0633903113	42.1347674672
11.6265936161	10.1421676109		12.2207231121	14.5132977913		12.2207231121	42.3283136108
11.7544135644	10.1576630632		12.2211855137	14.5781335953		12.2211855137	42.984215928
11.9646697327	10.5426138127		12.4264555331	14.6224036281		12.4264555331	43.2564733662
12.1275417793	10.6172483766		12.4892561983	14.663509966		12.4892561983	44.1103896104
12.2572778639	10.6717964583		12.5432984482	14.6719906048		12.5432984482	44.1395362613
12.2591297008	10.7080237043		12.5596258238	14.8045120157		12.5596258238	44.3798229626
12.2649598708	10.8661900132		12.6358368281	14.816623668		12.6358368281	44.4545406381
12.2772477743	10.910585427		12.6399114187	14.8288961039		12.6399114187	45.1215755371
12.3059487389	10.9641519941		12.6898677154	14.8649023091		12.6898677154	45.2016954415
12.3610221367	11.05345574		12.7626557784	14.9175418994		12.7626557784	45.3629976981
12.4105880799	11.095889757		12.7741009643	14.9253023256		12.7741009643	45.7274112062
12.4260177578	11.1042612417		12.7880273802	14.9453571429		12.7880273802	45.8252665828
12.4310574757	11.1569923472		12.7905963386	15.006048906		12.7905963386	45.9129208297
12.452754362	11.209967788		12.8927328409	15.1157650369		12.8927328409	45.9290322377
12.5093927442	11.2326490625		12.8952310435	15.2389594491		12.8952310435	45.973670854
12.6188163538	11.2707640014		12.9084636872	15.2546082337		12.9084636872	45.984019207
12.6485193628	11.4682518679		12.9220554493	15.2694034378		12.9220554493	46.1473038648
12.7671445395	11.4701902069		12.9254203113	15.2736370903		12.9254203113	46.2897924568
12.8261481037	11.5030015915		12.9458129788	15.2790064795		12.9458129788	46.3179466643
12.8655791808	11.5079176704		12.9472963605	15.2801232033		12.9472963605	46.3261902705
12.8924900843	11.5119612293		12.9497060455	15.2937323944		12.9497060455	46.3373093926
12.9711810954	11.5356275766		12.9796403873	15.3454212034		12.9796403873	46.3881538085
12.9813040074	11.6764860416		12.9819021983	15.3731632047		12.9819021983	46.6808041939
13.0429290436	11.6875879289		13.0124616706	15.3820885658		13.0124616706	46.6947775674
13.0459971082	11.7712380469		13.0211485964	15.3842681124		13.0211485964	46.7103752141
13.0538640017	11.7796274614		13.0426279513	15.4696980155		13.0426279513	46.7307448351
13.0665747825	11.7832989797		13.0499423868	15.5261073318		13.0499423868	46.8100213639
13.0979785673	11.8000397563		13.061916501	15.5368298755		13.061916501	46.8269255936
13.1398158464	11.8568359888		13.0822311047	15.5783623693		13.0822311047	46.8405640034
13.1465182023	11.8708066891		13.0918879509	15.6139801096		13.0918879509	46.9458656331
13.1682021631	11.8754032554		13.0919138462	15.6258823529		13.0919138462	47.0206933341
13.1882614423	11.886875584		13.1003624707	15.633011734		13.1003624707	47.1037261015
13.2076558233	11.9351971191		13.1186155129	15.6579942184		13.1186155129	47.1159330312
13.2682129137	11.9445496894		13.1739627565	15.6671938776		13.1739627565	47.1653061224
13.2774387455	11.9520214188		13.1900355872	15.6948470514		13.1900355872	47.2315611979
13.2948691099	12.1061678581		13.1908520971	15.7491535015		13.1908520971	47.2420221169
13.3028359045	12.11945831		13.2030283773	15.7632603232		13.2030283773	47.368262876
13.3314913671	12.1237542517		13.2121793165	15.7744277012		13.2121793165	47.4180906774
13.4504085478	12.1988520826		13.2232919955	15.8044394366		13.2232919955	47.4705264962
13.4836117367	12.2168493938		13.2345922396	15.8298546289		13.2345922396	47.5863320463
13.5364249371	12.2439913227		13.2831592357	15.885647517		13.2831592357	47.6723526143
13.546129205	12.2451529618		13.3116219316	15.9197961264		13.3116219316	47.6821184012
13.5633282142	12.2461493931		13.319420007	15.9203544397		13.319420007	47.6916741157
